Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,Collection
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_4.webp?v=1727283810,4,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_7.webp?v=1727283811,5,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_8.webp?v=1727283810,6,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_12.webp?v=1727283810,7,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_1.webp?v=1727283810,8,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_5.webp?v=1727283810,9,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_6.webp?v=1727283810,10,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_9.webp?v=1727283811,11,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_10.webp?v=1727283812,12,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-Starsense-Explorer-LT80AZ_11.webp?v=1727283810,13,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-DX102_24.webp?v=1732208966,14,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-DX102_25.webp?v=1732208966,15,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-DX102_26.webp?v=1732208966,16,,,,,,,,,,,,,,,,,,,,,,
SK0000002-UK,,,,,,,,,,,,,,,,,,,,141.3,282.6,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/files/Celestron-DX102_23.webp?v=1732208965,17,,,,,,,,,,,,,,,,,,,,,,
SK0000003-UK,"Bresser Messier 130 Tabletop Dobsonian Telescope - 5""","<p><strong>The Bresser Messier 5"" Dobsonian offers the performance and qualities rivaling many other more expensive telescopes, infact there are many dedicated Dobsonian telescope users groups, passionate about these designs and given the outstanding performance of these telescopes and their price, its easy to see why. </strong></p>
<p>The attraction lies in the uncomplicated handling. Simply place the entire telescope on a stable table or flat surface and align it to view the desired object. The Messier 5"" Dobsonian telescope is delivered largely pre-assembled and is therefore ready to go after a few minutes. With the 130 mm diameter optics, observation is not limited to the moon and the planets of our solar system - you can look much further into the night sky and observe globular clusters, nebulae and galaxies.<br><br>The wide-field optics with a low focal ratio of f/5.0 simplifies the finding and observation of even faint objects in the night sky.<br>This 5"" Dobsonian is also equipped with a large 2.0"" focuser, which allows the use of 2.0"" eyepieces with even larger fields of<br>view. Due to the included eyepiece adapter even 1.25"" eyepieces can be used.<br><br>The parabolic primary mirror offers significantly better image sharpness and contrast than comparable telescopes with a simple spherical mirrors. In addition to this, the telescope has a particularly large secondary mirror of 55mm diameter for an ideal illumination of the image field. The entire telescope tube can be moved and twisted in the tube clamps. The telescope OTA also has a standard GP dovetail bar, which means that the optics can also be used on almost any other telescope mount with a vixen fitting.<br><br data-mce-fragment=""1""><strong>Telescope Specs:</strong></p>
<ul>
<li>Optical design: Reflector</li>
<li>Mirror diameter: 130 mm</li>
<li>Focal length: 650 mm / f/5</li>
<li>Maximum recommended magnification: x 260</li>
<li>High quality BRESSER Newton optics</li>
<li>Parabolic primary mirror</li>
<li>Primary mirror diameter: 130 mm</li>
<li>2.0"" Rack &amp; Pinion focuser.</li>
<li>primary mirror made using special-purpose glass with very little thermal expansion</li>
<li>OTA can be attached to other mountings</li>
<li>Differently sized adjusting- and lock-screws</li>
</ul>
<p><strong>Dimensions &amp; Weight:</strong></p>
<ul>
<li>Net weight OTA: (incl. accessories) 3.5 kg</li>
<li>Total length: 35 cm</li>
<li>Total width: 35 cm</li>
<li>Total height: 71 cm</li>
<li>Tube diameter: 150 mm</li>
<li>Tube length: 610 mm</li>
<li>Net Weight total (incl. accessories): 6.6 kg</li>
<li>Net weight mount (incl. accessories): 4.5 kg</li>
</ul>
<p><em>Whats included:</em></p>
<ul>
<li>Newtonian Reflector</li>
<li>Lens Solar Filter</li>
<li>2 tube clamps with universal dovetail rail</li>
<li>Telescopic mount with universal prism mount</li>
<li>25mm + 9mm Eyepiece (Ø 31.7mm / 1.25'')</li>
<li>LED light point viewfinder (battery incl.)</li>
<li>Moon filter (Ø 31.7 mm / 1.25'')</li>
<li>Operating instructions</li>
</ul>
<p style=""font-size: 11px;""><em>SAFETY NOTICE:</em> <span data-mce-fragment=""1"">Never look directly at the Sun through your Binoculars or Telescope - immediate and permanent eye damage may result. For Solar viewing please ensure you have a dedicated Solar Filter fitted correctly to your telescope.</span></p>",,, Telescopes for Beginners ,,TRUE,,,,,,,,,,,,,121.05,242.09,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser5DobsonianTelescope_1.jpg?v=1638803205,1,,,,,,,,,,,,,,,,,,,,,, Telescopes for Beginners 
SK0000003-UK,,,,,,,,,,,,,,,,,,,,121.05,242.09,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser5DobsonianTelescope_2.jpg?v=1638803206,2,,,,,,,,,,,,,,,,,,,,,,
SK0000003-UK,,,,,,,,,,,,,,,,,,,,121.05,242.09,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser5DobsonianTelescope_3.jpg?v=1638803206,3,,,,,,,,,,,,,,,,,,,,,,
SK0000003-UK,,,,,,,,,,,,,,,,,,,,121.05,242.09,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser5DobsonianTelescope_4.jpg?v=1638803207,4,,,,,,,,,,,,,,,,,,,,,,
SK0000004-UK,Bresser Messier AR-90S/500 EXOS 2,"<p><b>The Bresser Messier AR-90S Refractor telescope is designed for both ambitious beginners and advanced observers alike. This small refractor offers some great views of both the larger Solar System objects as well as a whole range of deep sky targets such as star clusters and brighter galaxies and nebula.</b></p>
<div><span></span></div>
<div><span></span></div>
<div>Although better suited for large deep sky objects like galaxies, nebula and star clusters, when using a stronger eyepiece / Barlow (sold seperately) this 90mm refractor telescope can still also provide some really sharp views of the moons surface along with some details on the larger planets such as Jupiters cloud bands as well as Saturns rings (1.5 billion km away). If you venture to darker skies away from the city lights then its also possible to make some nice observations of the brighter galaxies such as Bodes Galaxy or Andromeda Galaxy as well as a whole range of star clusters and brighter nebula such as the Orion Nebula.<br><br>
</div>
<div>With an Aperture of 90mm @ f/5.5, this refractor offers some good light gathering characteristics which is especially useful if you would like to try your hand at some Astrophotography. The sharp and sturdy 'Hexafoc' focuser enables precise focusing and there is also a 1/4"" mounting bolt on the handle of the telescope to separately mount a DSLR camera if required. </div>
<div>
<br><em>The Mount:</em><br>The EXOS-2 German Equatorial Mount is a long established, intermediate level mount designed to offer a sturdy platform for equipment weighing up to 13kg. While this is the non-computerised version of the mount, a conversion kit is available separately to upgrade it to provide full electronic tracking and GOTO functions also - <em>Essential for long exposure Astrophotography</em><br><br><strong>Telescope main features:</strong><br>
<ul>
<li>Optical design: Refractor telescope</li>
<li>Aperture: 90mm</li>
<li>Focal length: 500mm</li>
<li>Focal Ratio: f/5.5</li>
<li>OTA Weight: 1.9kg</li>
<li>Maximum recommended magnification: x 180</li>
<li>6x30 viewfinder with crosshair eyepiece</li>
<li>Optimised finder mount for comfortable viewing</li>
<li>31.7mm (1.25"") zenith mirror</li>
<li>Smartphone adapter included</li>
</ul>
<strong>Equatorial Mount Features:</strong><br>
<ul>
<li>Stable parallactic mount with fine drives on both axis.</li>
<li>Ball bearings in both axis for more precise movements</li>
<li>Stable height adjustable stainless steel tripod (Min. 69cm / Max. 109.5cm)</li>
<li>Load capacity up to 13kg</li>
<li>Circular bubble level for easy horizontal alignment</li>
<li>Pole height scale for setting the latitude</li>
<li>Scaled graduated circular rings to facilitate finding objects using a star atlas or planetarium software</li>
<li>Tripod weight: 4.7 kg</li>
<li>Mount weight: 5.6 kg (without counterweight)</li>
<li>Total weight incl. counterweight: 14.8 kg</li>
<li>Batteries: not included</li>
</ul>
<em>Whats included:</em><br>
<ol>
<li>Refractor OTA</li>
<li>26mm Super Plössl eyepiece (31.7mm / 1.25"")</li>
<li>31.7mm (1.25"") zenith mirror</li>
<li>6x30 Optical View finder</li>
<li>Rotatable star map</li>
<li>Aperture Solar Filter</li>
<li>Smartphone camera adapter</li>
<li>Astronomy PC software Stellarium (via download)</li>
<li>Bresser EXOS-2 mount</li>
<li>Stainless steel tube field tripod with accessory tray</li>
<li>1 x 2 kg counterweight</li>
</ol>
</div>
<p style=""font-size: 11px;"" data-mce-style=""font-size: 11px;""><em>SAFETY NOTICE:</em> <span data-mce-fragment=""1"">Never look directly at the Sun through your Binoculars or Telescope - immediate and permanent eye damage may result. For Solar viewing we have dedicated filters and Telescopes available for this purpose.</span></p>",,, Telescopes for Beginners ,,TRUE,,,,,,,,,,,,,169.99,637.14,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/BresserAR90-500-Exos-2-Telescope_2.jpg?v=1648847550,1,,,,,,,,,,,,,,,,,,,,,, Telescopes for Beginners 
SK0000004-UK,,,,,,,,,,,,,,,,,,,,169.99,637.14,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/BresserAR90-500-Exos-2-Telescope_1.jpg?v=1648847600,2,,,,,,,,,,,,,,,,,,,,,,
SK0000004-UK,,,,,,,,,,,,,,,,,,,,169.99,637.14,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/BresserAR90-500-Exos-2-Telescope_3.jpg?v=1648847600,3,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,Bresser Messier AR-80/640 Nano AZ Telescope,"<p><strong>The Bresser Messier AR-80/640 Nano is a great starter telescope for both adults and young children looking for a first telescope to view some of the larger objects in the solar system such as the Moon and the larger planets.</strong></p>
<p>Solar System objects like the Moon will appear nice and sharp, especially the larger craters and surface features such as the 'Montes Apenninus' mountain range. Under steady sky conditions, using a stronger eyepiece eg. a 15mm eyepiece and x2 Barlow (sold seperately) it will also possible to make out Saturns rings or the two main cloud belts on Jupiter as well as Jupiters 3 larger moons.</p>
<p>You can even share your fantastic views of space with your friends and family, as this telescope also includes a small smartphone holder so you can use your smartphone to capture some nice photos through the eyepiece.<br><br><em>The Mount:</em><br>An essential part of any beginner telescope is the mounts simplicity, and the Nano ALT-AZ mount is exactly that. Having a telescope that is quick and easy to setup and use means you will most likely use it a lot more often - an important consideration when choosing a telescope. This is why Alt-AZ mounts are so popular with both beginners and experienced amateurs as a convenient grab and go telescope. The Nano Alt-AZ mount offers a sturdy platform with smooth controls to allow you to effortlessly scan the night sky.<br><br>The mount is as easy to use as a photo tripod, it is just more stable and easily carries telescopes weighing up to 4kg and with a weight of only 3.4kg, its also very easy to store and transport. The telescope is securely held by a clamp for 44mm prism rails, (the so-called GP Level) which is an international standard and all telescopes with a GP prism rail can also be used on this mount.<br><br><strong>Features:</strong><br></p>
<ul>
<li>High quality and compact Refractor telescope - Ideal for beginners</li>
<li>Sturdy &amp; easy to use Bresser Nano Mount</li>
<li>Telescope arrives almost pre-assembled</li>
<li>MgF2-coated optics</li>
<li>Aperture: 80mm</li>
<li>Focal length: 640mm</li>
<li>Stainless steel field tripod</li>
<li>Smartphone holder bracket included - for taking pictures</li>
<li>Eyepiece diameter: 31.7mm (1.25"")</li>
<li>Suitable for Astro and Solar observation (with included Solar filter securely attached)</li>
<li>5 Year Manufacturer Warranty</li>
</ul>
<p><em>Whats included:</em></p>
<ol>
<li>Refractor Optical Tube</li>
<li>Azimuth Mount</li>
<li>Stainless steel tripod with accessory shelf</li>
<li>Eyepiece: Bresser Super Plössl 26mm</li>
<li>Red dot finder</li>
<li>Diagonal mirror 1.25""(31,7mm)</li>
<li>Aperture Solar-filter</li>
<li>Smartphone camera adapter</li>
<li>Camera-Adapter Ring T2 (M42x0.75mm)</li>
<li>Star Chart Software &amp; Rotatable star-map</li>
</ol>
<p style=""font-size: 11px;"" data-mce-style=""font-size: 11px;""><em>SAFETY NOTICE:</em> <span data-mce-fragment=""1"">Never look directly at the Sun through your Binoculars or Telescope - immediate and permanent eye damage may result. For Solar viewing we have dedicated filters and Telescopes available for this purpose.</span></p>",,, Telescopes for Beginners ,,TRUE,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_1.jpg?v=1648848111,1,,,,,,,,,,,,,,,,,,,,,, Telescopes for Beginners 
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_5.jpg?v=1648848111,2,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_4.jpg?v=1648848111,3,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_7.jpg?v=1648848111,4,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_6.jpg?v=1648848111,5,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_2.jpg?v=1648848111,6,,,,,,,,,,,,,,,,,,,,,,
SK0000005-UK,,,,,,,,,,,,,,,,,,,,105.86,211.71,,,,https://cdn.shopify.com/s/files/1/0596/1924/6275/products/Bresser-80-640-Nano-Telescope_3.jpg?v=1648848111,7,,,,,,,,,,,,,,,,,,,,,,
